Model,Input,Cached input,Output,Training,Estimated cost
gpt-4.1gpt-4.1-2025-04-14,$2.00,$0.50,$8.00,,
gpt-4.1-minigpt-4.1-mini-2025-04-14,$0.40,$0.10,$1.60,,
gpt-4.1-nanogpt-4.1-nano-2025-04-14,$0.10,$0.025,$0.40,,
gpt-4.5-previewgpt-4.5-preview-2025-02-27,$75.00,$37.50,$150.00,,
gpt-4ogpt-4o-2024-08-06,$2.50,$1.25,$10.00,,
gpt-4o-audio-previewgpt-4o-audio-preview-2024-12-17,$2.50,-,$10.00,,
gpt-4o-realtime-previewgpt-4o-realtime-preview-2024-12-17,$5.00,$2.50,$20.00,,
gpt-4o-minigpt-4o-mini-2024-07-18,$0.15,$0.075,$0.60,,
gpt-4o-mini-audio-previewgpt-4o-mini-audio-preview-2024-12-17,$0.15,-,$0.60,,
gpt-4o-mini-realtime-previewgpt-4o-mini-realtime-preview-2024-12-17,$0.60,$0.30,$2.40,,
o1o1-2024-12-17,$15.00,$7.50,$60.00,,
o1-proo1-pro-2025-03-19,$150.00,-,$600.00,,
o3o3-2025-04-16,$10.00,$2.50,$40.00,,
o4-minio4-mini-2025-04-16,$1.10,$0.275,$4.40,,
o3-minio3-mini-2025-01-31,$1.10,$0.55,$4.40,,
o1-minio1-mini-2024-09-12,$1.10,$0.55,$4.40,,
gpt-4o-mini-search-previewgpt-4o-mini-search-preview-2025-03-11,$0.15,-,$0.60,,
gpt-4o-search-previewgpt-4o-search-preview-2025-03-11,$2.50,-,$10.00,,
computer-use-previewcomputer-use-preview-2025-03-11,$3.00,-,$12.00,,
gpt-image-1gpt-image-1,$5.00,-,-,,
o3o3-2025-04-16,$5.00,$1.25,$20.00,,
o4-minio4-mini-2025-04-16,$0.55,$0.138,$2.20,,
gpt-4o-audio-previewgpt-4o-audio-preview-2024-12-17,$40.00,-,$80.00,,
gpt-4o-audio-preview-2024-12-17,$40.00,-,$80.00,,
gpt-4o-audio-preview-2024-10-01,$100.00,-,$200.00,,
gpt-4o-mini-audio-previewgpt-4o-mini-audio-preview-2024-12-17,$10.00,-,$20.00,,
gpt-4o-mini-audio-preview-2024-12-17,$10.00,-,$20.00,,
gpt-4o-realtime-previewgpt-4o-realtime-preview-2024-12-17,$40.00,$2.50,$80.00,,
gpt-4o-realtime-preview-2024-12-17,$40.00,$2.50,$80.00,,
gpt-4o-realtime-preview-2024-10-01,$100.00,$20.00,$200.00,,
gpt-4o-mini-realtime-previewgpt-4o-mini-realtime-preview-2024-12-17,$10.00,$0.30,$20.00,,
gpt-4o-mini-realtime-preview-2024-12-17,$10.00,$0.30,$20.00,,
gpt-image-1gpt-image-1,$10.00,,$40.00,,
o4-mini-2025-04-16,$4.00,$1.00,$16.00,$100.00 / hour,
o4-mini-2025-04-16 with data sharing,$2.00,$0.50,$8.00,$100.00 / hour,
gpt-4.1-2025-04-14,$3.00,$0.75,$12.00,$25.00,
gpt-4.1-mini-2025-04-14,$0.80,$0.20,$3.20,$5.00,
gpt-4.1-nano-2025-04-14,$0.20,$0.05,$0.80,$1.50,
gpt-4o-2024-08-06,$3.75,$1.875,$15.00,$25.00,
gpt-4o-mini-2024-07-18,$0.30,$0.15,$1.20,$3.00,
gpt-3.5-turbo,$3.00,-,$6.00,$8.00,
davinci-002,$12.00,-,$12.00,$6.00,
babbage-002,$1.60,-,$1.60,$0.40,
gpt-4o-mini-tts,$0.60,,-,,$0.015minute
gpt-4o-transcribe,$2.50,,$10.00,,$0.006minute
gpt-4o-mini-transcribe,$1.25,,$5.00,,$0.003minute
gpt-4o-mini-tts,-,,$12.00,,$0.015minute
gpt-4o-transcribe,$6.00,,-,,$0.006minute
gpt-4o-mini-transcribe,$3.00,,-,,$0.003minute
chatgpt-4o-latest,$5.00,,$15.00,,
gpt-4-turbogpt-4-turbo-2024-04-09,$10.00,,$30.00,,
gpt-4gpt-4-0613,$30.00,,$60.00,,
gpt-4-32k,$60.00,,$120.00,,
gpt-3.5-turbogpt-3.5-turbo-0125,$0.50,,$1.50,,
gpt-3.5-turbo-instruct,$1.50,,$2.00,,
gpt-3.5-turbo-16k-0613,$3.00,,$4.00,,
davinci-002,$2.00,,$2.00,,
babbage-002,$0.40,,$0.40,,
